name
Alda
Annbjørg
Aslaug
Astrid 
Aud
Bjørg
Borghild
Dagny
Elida
Gislaug
Gro
Gudrun
Gunn
Helga
Herbjørg
Hild
Hildegunn
Inger
Leikny
Liv 
Ragnhild
Signy
Sigrid
Siv 
Solveig
Tone
Turid
Åsfrid
Åshild
Aðalbjörg	
Agnhild	
Agnora	
Aldis	
Aldora	
Alfa	
Alfhild	
Alfie	
Alfine	
Alfrid	
Alfrida	
Alfsigr	
Allaug	
Almveig	
Alsine	
Alvdis	
Alvfrid	
Alvhild	
Alvhilda	
Alvida	
Alvilda	
Alvilde	
Alvlaug	
Alvrun	
Ambjørg	
Amborg	
Amunda	
Anbjørg	
Anborg	
Andi	
Andora	
Anfrid	
Angerd	
Angjerd	
Anhild	
Anlaug	
Annbjørg	
Annborg	
Annfrid	
Anngjerd	
Annhild	
Annlaug	
Annvei	
Annveig	
Annvor	
Anveig	
Anvor	
Arinbjørg	
Arla	
Arna
Arnbjørg	
Arnborg	
Arndis	
Arnfrid	
Arnhild	
Arnhill	
Arnlaug	
Arnveig	
Arvida	
Asbjørg	
Asborg	
Ásdís
Asdis	
Asfrid	
Asgjerd	
Askell	
Askhild	
Aslaug	
Asny	
Asrun	
Asrunn	
Assa	
Asta	
Astri	
Astrid
Ástríðr	
Asveig	
Aud	Norge
Audbjørg	
Audfrid	
Audgerd	
Audgunn	
Audhild	
Audhill	
Audil	
Audni	
Audny	
Audrun	
Audun	
Audveig	
Auli	
Baugheid	
Bera	
Berentine	
Bergdis	
Bergfrid	
Berghild	
Bergine	
Bergliot	
Bergljot	
Berglot	
Bergot	
Bergtora	
Bergunn	
Berhild	
Berna	
Berny	
Birna
Bjarnhild	
Bjørg
Bjørgfrid	
Bjørghild	
Bjørgny	
Bjørgun	
Bjørgunn	
Bjørgveig	
Bjørnhild	
Bodhild	
Bodil
Bodvild	
Boghild	
Bol	
Bolette	
Borgfrid	
Borghild	
Borgny	
Borgrun	
Borgunn	
Borni	
Borny	
Børrea	
Bothild	
Bothilde	
Brønla	
Brunhild	
Bryndis	
Bryngerd	
Bryngjerd	
Brynhild	
Brynhildr	
Brytteva	
Canutte	
Daga	
Dagbjørg	
Dageid	
Dagfrid	
Dagheid	
Daghild	
Dagmøy	
Dagna	
Dagne	
Dagny	
Dagrun	
Dagrunn	
Dagunn	
Dagveig	
Disa	
Drude	
Edbjørg	
Edlaug	
Edrun	
Edvina	
Edvine	
Eibjørg	
Eida	
Eidbjørg	
Eidfrid	
Eidis	
Eidunn	
Eifrid	
Einara	
Eine	
Einfrid	
Einrun	
Eir	
Eira	
Eirhild	
Eiril	
Eirny	
Eirun	
Eirunn	
Eivor	
Elbjørg	
Elborg	
Elda	
Eldbjørg	
Eldfrid	
Eldis	
Eldri	
Eldrid	
Eldrun	
Elevine	
Elfi	
Elfrid	
Elfride	
Elfryda	
Elfy	
Elgunn	
Elida	
Ellaug	
Ellbjørg	
Ellevine	
Elli	
Ellida	
Ellrun	
Elva
Elvida	
Embjørg	
Embla	
Engel	
Erdis	
Erica	
Erika
Erikka	
Evin	
Evina	
Evine	
Eydís	
Eydis	
Eyrun	
Eyvor	
Fagun	
Finngerd	
Finnlaug	
Freda	
Fredbjørg	
Fredgunn	
Fredhild	
Fredlaug	
Fredmøy	
Fredny	
Fredrikke	
Fredvår	
Fredvor	
Freia	
Freidis	
Freidun	
Freja	
Freya	
Freydis	
Frid	
Frida	
Fridbjørg	
Fridborg	
Fride	
Fridgunn	
Fridhild	
Frieda	
Frigg	
Frøy	
Frøya	
Frøydis	
Fryd	
Fryda	
Gardia	
Geira	
Geirhild	
Geirid	
Geirny	
Geirtrud	
Geirunn	
Geraldine	
Gerd
Gerda
Gerdi	
Gerharda	
Gerlinde	
Gerti	
Gertie	
Gidske	
Giske	
Gisken	
Gislaug	
Gitlaug	
Gjartrud	
Gjendine	
Gjerche	
Gjertine	
Gjertru	
Gjertrud	
Gjøa	
Gjørhild	
Gjøri	
Gollaug	
Gønner	
Gørhild	
Gøril	
Gørild	
Gørill	
Goro	
Grid	
Gro
Gry	
Gudbjørg	
Gudborg	
Gudfrid	
Guðlaug
Gudlaug	
Gudmanda	
Gudny	
Gudrid	
Gudrun
Gudrunn	
Gudunn	
Gudve	
Gudveig	
Gudvor	
Guldbjørg	
Guldborg	
Guldis	
Guldveig	
Gulla	
Gullaug	
Gullbjørg	
Gullborg	
Gulldis	
Gulli	
Gulline	
Gullveig	
Gully	
Gun	Sverige
Gunbjørg	
Gunborg	
Gunda	
Gundel	
Gunelie	
Gunfrid	
Gunharda	
Gunhild	
Gunhilda	
Gunhilde	
Gunlaug	
Gunn
Gunna	
Gunnbjørg	
Gunnborg	
Gunne	
Gunnel
Gunnelie	
Gunnfrid	
Gunnhild	
Gunnhilda	
Gunnhilde	
Gunni	
Gunnil	
Gunnild	
Gunnlaug	
Gunnveig	
Gunnvil	
Gunnvor	
Gunny	
Gunrid	
Gunvalda	
Gunvarda	
Gunveg	
Gunveig	
Gunvor
Gunvord	
Gurå	
Guren	
Guri	
Guriann	
Gurianne	
Gurid	
Gurill	
Gurin	
Gurina	
Gurine	
Gurly	
Guro	
Guru	
Gyda	
Gyri	
Gyrid	
Gyril	
Gyro	
Hadda	
Haddy	
Hagny	
Hagrun	
Halbjørg	
Haldis	
Haldora	
Halfrid	
Halfrida	
Halgerd	
Halgjerd	
Halgunn	
Hallaug	
Hallbjørg	
Halldis	
Halldora	
Hallfrid	
Hallgerd	
Hallgjerd	
Hallgunn	
Hallrid	
Hallveig	
Halvarda	
Halvei	
Halveig	
Halvordine	
Hansia	
Hansina	
Hansine	
Haralda	
Harda	
Hardis	
Harmke	
Hedda	
Heddy	
Hedevig	
Hedny	
Hedrun	
Hedvig	
Hedvik	
Hedy	
Hege
Heidrun	
Helbjørg	
Helfred	
Helfrid	
Helg	
Helga
Helgunn	
Helje	
Hella	
Hellbjørg	
Helle
Helly	
Helma	
Helvig	
Henninge	
Herbjørg	
Herborg	
Herdis	
Herfrid	
Hergun	
Hergunn	
Herlaug	
Herly	
Hermana	
Hermanda	
Herny	
Herolda	
Hervor	
Hilbjørg	
Hilborg	
Hild	
Hilda
Hildbjørg	
Hildborg	
Hilde
Hildebjørg	
Hildeborg	
Hildegun	
Hildegunn	
Hildrun	
Hildur
Hildura	
Hildure	
Hilfrid	
Hill	
Hillbjørg	
Hilleborg	
Hillevi	
Hillfrid	
Hillrid	
Hilma	
Hjalma	
Hjalmara	
Hjartrud	
Hjördís
Hjørdis	
Hjørdun	
Holmfrid	
Hulda
Idun	
Idunn	
Ilaug	
Ildri	
Ildrid	
Imbjørg	
Inga
Ingalill	
Ingara	
Inge
Ingeber	
Ingebjørg	
Ingeborg
Ingegerd
Ingegjerd	
Ingeleiv	
Inger
Ingerd	
Ingerid	
Ingerine	
Ingfrid	
Ingfryd	
Inghild	
Ingjer	
Ingjerd	
Inglaug	
Ingri	
Ingrid
Ingrun	
Ingrunn	
Ingun	
Ingunn
Ingvalda	
Ingvara	
Ingvarda	
Ingvei	
Ingveig	
Ingvil	
Ingvild	
Isfrid	
Ivara	
Ivarda	
Ivarna	
Iverine	
Iverta	
Ivrine	
Janhild	
Jarbjørg	
Jarlaug	
Jarldis	
Jarlfrid	
Jarly	
Jarnfrid	
Jarnhild	
Jartrud	
Jendine	
Jenfrid	
Jenhild	
Jo	
Jodis	
Jofrid	
Johild	
Jolaug	
Jondine	
Jonfrid	
Jonhild	
Jonill	
Jonlaug	
Joran	
Jorån	
Jorann	
Jorånn	
Jordis	
Jørdis	
Joreid	
Jørga	
Jørgina	
Jørgine	
Jørgun	
Jørgunn	
Jorheid	
Jorhild	
Jørhild	
Jøri	
Jorid	
Joril	
Jøril	
Jorild	
Jørild	
Jorill	
Joris	
Jorlaug	
Joronn	
Jorun	
Jørun	
Jorund	
Jorunn
Jørunn	
Joveig	
Julfrid	
Junhild	
Jurid	
Karda	
Kardis	
Kårhild	
Kari
Karn	
Karna	
Kellfrid	
Kerste	
Kjelfrid	
Kjellaug	
Kjellbjørg	
Kjellborg	
Kjellfrid	
Kjellrun	
Kjellvor	
Kjelrun	
Kjerlaug	
Knuthild	
Kolbjørg	
Kollbjørg	
Kristbjørg	
Kristhild	
Kristlaug	
Kristmar	
Kristrun	
Lagerta	
Lagertha	
Lava	
Leikny	
Lidveig	
Lidvor	
Lindbjørg	
Linveig	
Liv
Liveig	
Livunn	
Lodveig	
Lydveig	
Lydvor	
Magnhild	
Magnhilde	
Magni	
Magnora	
Magnvor	
Malfrid	
Målfrid	
Malfrida	
Malmfrid	
Mildfrid	
Mildred
Mildrid	
Mildrun	
Milfrid	
Mindor	
Modgun	
Modgunn	
Modhild	
Molfri	
Molfrid	
Møyfrid	
Nanfrid	
Nanna	
Nanni	
Nilbjørg	
Nilvarda	
Norbjørg	
Norfrid	
Norgunn	
Norhild	
Norlaug	
Norveig	
Oda	
Odbjørg	
Odda	
Oddbjørg	
Oddborg	
Oddfrid	
Oddgun	
Oddgunn	
Oddlaug	
Oddlin	
Oddly	
Oddny	
Oddrun	
Oddrunn	
Oddveig	
Odel	
Odette	
Odfrid	
Odine	
Odis	
Odlaug	
Odly	
Odny	
Odrun	
Odrunn	
Odveig	
Olaug	
Olava	
Olave	
Olbjørg	
Olda	
Oldis	
Olea	
Oleiv	
Ollveig	
Oløv	
Olrun	
Olveig	
Orlaug	
Oslaug	
Osmine	
Ottar	
Ovalda	
Ragna
Ragnbjörg	
Ragndi	
Ragne	
Ragnfrid	
Ragnfríðr	
Ragnheid	
Ragnhild
Ragnhilda	
Ragnhilde	
Ragni	
Ragnild	
Ramborg	
Ramfrid	
Randa	
Randi
Ranfrid	
Ranheid	
Rannei	
Rannfrid	
Rannveig
Ranveig	
Ravna	
Reidhild	
Reidi	
Reidun
Reidunn	
Reinhild	
Riborg	
Rigmor	
Rollaug	
Rønnaug	
Runa	
Runhild	
Runi	
Sæbjørg	
Salmøy	
Såve	
Sebjørg	
Semine	
Sif	
Sigbjørg	
Sigborg	
Sigbrit	
Sigbritt	
Sigdis	
Sigfrid	
Sigfrida	
Sigfryd	
Signe
Signhild	
Signi	
Signy	
Sigri	
Sigrid
Sigrún
Sigrun	
Sigrund	
Sigrunn	
Sigun	
Sigunn	
Sigurda	
Sigvalda	
Sigvarda	
Sigveig	
Sigvor	
Sigyn	
Siv
Siw	
Skjaldvor	
Skjalvor	
Skjoldvor	
Snefrid	
Snøfrid	
Søgnhild	
Søgni	
Sol	
Solaug	
Solbjørg	
Solborg	
Solfrid	
Solgerd	
Solgun	
Solgunn	
Solhild	
Sollaug	
Solmøy	
Solrun	
Solrunn	
Solunn	
Sølva	
Solvår	
Sølve	
Solvei	
Solveig
Solvejg	
Sølvi	
Solvor	
Steinunn
Steinvor	
Steivor	
Svalaug	
Svålaug	
Svanaug	
Svånaug	
Svanbjørg	
Svanfrid	
Svanhild	
Svanild	
Svanlaug	
Svanvid	
Sygni	
Tåran	
Tårån	
Targerd	
Targjerd	
Thora	
Thorbjørg	
Thorborg	
Þórdís
Thordis	
Þórfríðr	
Thorgun	
Thorgunn	
Thorhild	
Thoril	
Thorild	
Thorill	
Thorine	
Thorny	
Thorun	
Thorunn	
Thorvalda	
Thuri	
Thurid	
Tjodhild	
Tjodunn	
Tjodvor	
Todne	
Tora	
Torbjørg	
Torborg	
Tordis	
Tordny	
Tordun	
Tore	
Torfrid	
Torgerd	
Torgine	
Torgjerd	
Torgny	
Torhil	
Torhild	
Tori	
Tøri	
Torid	
Toril	
Torin	
Torine	
Tørine	
Torinn	
Torlaug	
Torny	
Torø	
Torøy	
Torun	
Torunn	
Torvalda	
Torveig	
Tova	
Tove
Trud	
Trude	
Trudi	
Tryghild	
Turhild	
Turi	
Turid
Turil	
Turine	
Tyri	
Udbjørg	
Udna	
Ulvhild	
Una	
Undis	
Uni	
Unn	
Unna	
Unndis	
Unnfrid	
Unnhild	
Unni
Unnlaug	
Unnveig	
Unny	
Urd	
Urda	
Vaar	
Valbjørg	
Valborg	
Valda	
Valdine	
Valdís	
Valdis	
Valfred	
Valfrid	
Valgerd	
Valgjerd	
Vår	
Vårin	
Vårinn	
Vårun	
Vårunn	
Vebjørg	
Vedis	
Velaug	
Venhild	
Veni	
Venil	
Venill	
Vidrun	
Viel	
Vigdís
Vigdis
Vighild	
Vilbjørg	
Vilborg
Vilfrid	
Vilgerd	
Vilgjerd	
Vilgun	
Vilgunn	
Villgun	
Villgunn	
Vilrun	
Vivil	
Vivild	
Vorin	
Walborg	
Ylva	
Ymbjørg	
Yngva	
Yngvarda	
Yngvil	
Yngvild	
Yngvill	
Yrsa	
Østine	
Øyan	
Øydis	
Øyfrid	
Øygun	
Øygunn	
Øylaug	
Øyonn	
Øyvor	
Ådny	
Åfrid	
Ågunn	
Ålaug	
Ålov	
Årlaug	
Aasa	
Aasbjørg	
Åsbjørg	
Aase	
Åse	Norge
Åsel	
Aasfrid	
Åsfrid	
Åsgerd	
Aasgjerd	
Aashild	
Åshild	
Åshill	
Åsil	
Aaslaug	
Åslaug	
Aasne	
Åsne	
Åsny	
Åsrun	
Åsrunn	
Aasta	
Åsta	
Aaste	
Åste	
Aasveig	
Åsveig
Sigurd
Frøy
Høne
Od
Vilje 
Våle
Eir
Fjorgyn 
Frigg 
Frøya 
Idunn
Irpa 
Lin 
Lovn 
Nanna 
Njorun
Sigyn 
Siv 
Snotra 
Sol 
Syn 
Torgerd 
Vår
Aurvandil
Vavtrudne 
Aurboda
Bestla
Fonn 
Gerd 
Grid 
Hel
Hyrrokkin 
Mjoll
Natt
Gondul 
Hild 
Hløkk 
Hrist 
Mist
Embla
